Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr),India VIX ,STT rate,Avg Share price,Trading Volume
09-Nov-23,19457.4,19463.9,19378.35,19395.3,208418472,19087.29,10.9825,0.0625,19421.125,0.982810728
10-Nov-23,19351.85,19451.3,19329.45,19425.35,152215785,12916.21,11.1075,0.0625,19390.375,0.666114503
12-Nov-23,19547.25,19547.25,19510.25,19525.55,37311902,2482.27,11.3475,0.0625,19528.75,0.127108494
13-Nov-23,19486.75,19494.4,19414.75,19443.55,189275733,13527.22,11.1875,0.0625,19454.575,0.695323337
15-Nov-23,19651.4,19693.2,19579.65,19675.45,291464988,24957.24,11.135,0.0625,19636.425,1.270966584
16-Nov-23,19674.7,19875.25,19627,19765.2,282686669,26041.45,11.6475,0.0625,19751.125,1.318479327
17-Nov-23,19674.75,19806,19667.45,19731.8,236827462,21681.28,11.8275,0.0625,19736.725,1.098524705
20-Nov-23,19731.15,19756.45,19670.5,19694,173780543,16737.05,12.1475,0.0625,19713.475,0.849015711
21-Nov-23,19770.9,19829.1,19754.05,19783.4,194969012,17947.2,12.2325,0.0625,19791.575,0.906810095
22-Nov-23,19784,19825.55,19703.85,19811.85,184497984,17405.48,11.865,0.0625,19764.7,0.880634667
23-Nov-23,19828.45,19875.15,19786.75,19802,170024085,15906.94,11.315,0.0625,19830.95,0.802126978
24-Nov-23,19809.6,19832.85,19768.85,19794.7,145895044,14389.29,11.33,0.0625,19800.85,0.726700621
28-Nov-23,19844.65,19916.85,19800,19889.7,229595031,23043.25,12.175,0.0625,19858.425,1.160376515
29-Nov-23,19976.55,20104.65,19956.3,20096.6,236241768,22367.64,12.7075,0.0625,20030.475,1.116680458
30-Nov-23,20108.5,20158.7,20015.85,20133.15,486585349,48877.95,12.69,0.0625,20087.275,2.433279278
01-Dec-23,20194.1,20291.55,20183.7,20267.9,265812566,22461.53,12.3825,0.0625,20237.625,1.109889624
04-Dec-23,20601.95,20702.65,20507.75,20686.8,381107418,33917.52,12.9925,0.0625,20605.2,1.646066042
05-Dec-23,20808.9,20864.05,20711.15,20855.1,421008350,41763.52,13.4575,0.0625,20787.6,2.009059247
06-Dec-23,20950.75,20961.95,20852.15,20937.7,359212958,35654.76,13.74,0.0625,20907.05,1.705394113
07-Dec-23,20932.4,20941.25,20850.8,20901.15,274985308,24862.43,12.6725,0.0625,20896.025,1.189816245
08-Dec-23,20934.1,21006.1,20862.7,20969.4,292440768,27449.96,12.47,0.0625,20934.4,1.311237007
11-Dec-23,20965.3,21026.1,20923.7,20997.1,212921451,21150.17,12.7575,0.0625,20974.9,1.008356178
12-Dec-23,21018.55,21037.9,20867.15,20906.4,244867128,25404.64,12.7125,0.0625,20952.525,1.212485846
13-Dec-23,20929.75,20950,20769.5,20926.35,260269318,25918.44,12.065,0.0625,20859.75,1.242509618
14-Dec-23,21110.4,21210.9,21074.45,21182.7,334410589,32593.42,12.32,0.0625,21142.675,1.541593956
15-Dec-23,21287.45,21492.3,21235.3,21456.65,508761756,50114.46,13.1275,0.0625,21363.8,2.345765266
18-Dec-23,21434.8,21482.8,21365.35,21418.65,249668965,23615.28,13.9,0.0625,21424.075,1.102277695
19-Dec-23,21477.65,21505.05,21337.75,21453.1,249750062,23750.61,13.8675,0.0625,21421.4,1.108732856
20-Dec-23,21543.5,21593,21087.35,21150.15,363886229,30993.12,14.45,0.0625,21340.175,1.452336731
21-Dec-23,21033.95,21288.35,20976.8,21255.05,277548079,26001.02,13.7575,0.0625,21132.575,1.230376327
22-Dec-23,21295.85,21390.5,21232.45,21349.4,284708918,27709.29,13.7075,0.0625,21311.475,1.300205171
26-Dec-23,21365.2,21477.15,21329.45,21441.35,219467748,20081.33,14.6775,0.0625,21403.3,0.938235225
27-Dec-23,21497.65,21675.75,21495.8,21654.75,256542963,23059.25,15.5575,0.0625,21585.775,1.06826139
28-Dec-23,21715,21801.45,21678,21778.7,393080755,35031,15.14,0.0625,21739.725,1.611381929
29-Dec-23,21737.65,21770.3,21676.9,21731.4,270922276,23697.88,14.5025,0.0625,21723.6,1.090881806
01-Jan-24,21727.75,21834.35,21680.85,21741.9,153995217,14184.09,14.68,0.0625,21757.6,0.651914274
01-Jan-24,21727.75,21834.35,21680.85,21741.9,153995217,14184.09,14.58,0.0625,21757.6,0.651914274
02-Jan-24,21751.35,21755.6,21555.65,21665.8,263711568,25316.13,14.0975,0.0625,21655.625,1.169032526
03-Jan-24,21661.1,21677,21500.35,21517.35,311933117,32329.23,13.33,0.0625,21588.675,1.497508763
04-Jan-24,21605.8,21685.65,21564.55,21658.6,339172697,30868.15,12.63,0.0625,21625.1,1.427422301
05-Jan-24,21705.75,21749.6,21629.2,21710.8,309303266,26554.49,13.4625,0.0625,21689.4,1.224307265
08-Jan-24,21747.6,21763.95,21492.9,21513,231452935,21140.94,13.2625,0.0625,21628.425,0.977460911
09-Jan-24,21653.6,21724.45,21517.85,21544.85,228568589,24055.74,12.97,0.0625,21621.15,1.112602244
10-Jan-24,21529.3,21641.85,21448.65,21618.7,216991926,20958.96,12.7675,0.0625,21545.25,0.97278797
11-Jan-24,21688,21726.5,21593.75,21647.2,212453866,23492.12,13.1,0.0625,21660.125,1.084579152
12-Jan-24,21773.55,21928.25,21715.15,21894.55,294678459,30565.5,13.785,0.0625,21821.7,1.400692888
15-Jan-24,22053.15,22115.55,21963.55,22097.45,345543523,29523.15,13.5725,0.0625,22039.55,1.339553212
16-Jan-24,22080.5,22124.15,21969.8,22032.3,292433764,24435.94,15.08,0.0625,22046.975,1.108357949
17-Jan-24,21647.25,21851.5,21550.45,21571.95,455999867,47533.44,14.07,0.0625,21700.975,2.19038269
18-Jan-24,21414.2,21539.4,21285.55,21462.25,387341268,39718.84,13.8775,0.0625,21412.475,1.854939235
19-Jan-24,21615.2,21670.6,21575,21622.4,343055124,34429.24,13.8025,0.0625,21622.8,1.592265572
20-Jan-24,21706.15,21720.3,21541.8,21571.8,162073740,13917.46,14.8525,0.0625,21631.05,0.643401962
23-Jan-24,21716.7,21750.25,21192.6,21238.8,449718534,48813.68,14.375,0.0625,21471.425,2.273425262
24-Jan-24,21185.25,21482.35,21137.2,21453.95,407460664,41718.64,13.865,0.0625,21309.775,1.957723158
25-Jan-24,21454.6,21459,21247.05,21352.6,418143077,40088.5,15.68,0.0625,21353.025,1.877415495
29-Jan-24,21433.1,21763.25,21429.6,21737.6,376702289,34516.42,16.1025,0.0625,21596.425,1.598246932
30-Jan-24,21775.75,21813.05,21501.8,21522.1,375137333,32916.3,16.0475,0.0625,21657.425,1.519862126
31-Jan-24,21487.25,21741.35,21448.85,21725.7,410583065,41587.85,14.455,0.0625,21595.1,1.925800297
01-Feb-24,21780.65,21832.95,21658.75,21697.45,332541208,34042.15,14.6975,0.0625,21745.85,1.565455018
02-Feb-24,21812.75,22126.8,21805.55,21853.8,442794738,38395.9,15.6175,0.0625,21966.175,1.747955664
05-Feb-24,21921.05,21964.3,21726.95,21771.7,440849699,33807.94,15.785,0.0625,21845.625,1.547584013
06-Feb-24,21825.2,21951.4,21737.55,21929.4,370968111,32910.82,15.505,0.0625,21844.475,1.506596977
07-Feb-24,22045.05,22053.3,21860.15,21930.5,346263704,30088.76,15.8275,0.0625,21956.725,1.370366482
08-Feb-24,22009.65,22011.05,21665.3,21717.95,491069786,41082.02,15.4475,0.0625,21838.175,1.881202069
09-Feb-24,21727,21804.45,21629.9,21782.5,349222850,31176.16,16.0625,0.0625,21717.175,1.435553197
12-Feb-24,21800.8,21831.7,21574.75,21616.05,287436165,23921.14,15.8075,0.0625,21703.225,1.102192877
13-Feb-24,21664.3,21766.8,21543.35,21743.25,365785766,29896.62,15.435,0.0625,21655.075,1.380582612
14-Feb-24,21578.15,21870.85,21530.2,21840.05,359120861,32535,15.225,0.0625,21700.525,1.499272483
15-Feb-24,21906.55,21953.85,21794.8,21910.75,345394395,29559.69,15.2225,0.0625,21874.325,1.351341813
16-Feb-24,22020.3,22068.65,21968.95,22040.7,343892935,30666.89,16.0175,0.0625,22018.8,1.392759369
19-Feb-24,22103.45,22186.65,22021.05,22122.25,218252325,21375.71,16.0725,0.0625,22103.85,0.967058227
20-Feb-24,22099.2,22215.6,22045.85,22196.95,295705319,26872.32,15.9275,0.0625,22130.725,1.214253939
21-Feb-24,22248.85,22249.4,21997.95,22055.05,364545679,29741.39,15.1975,0.0625,22123.675,1.344324123
22-Feb-24,22081.55,22252.5,21875.25,22217.45,343495136,33985.94,14.9725,0.0625,22063.875,1.540343208
23-Feb-24,22290,22297.5,22186.1,22212.7,225983194,24617.01,15.6,0.0625,22241.8,1.106790368
26-Feb-24,22169.2,22202.15,22075.15,22122.05,207775504,20850.26,15.7275,0.0625,22138.65,0.941803588
27-Feb-24,22090.2,22218.25,22085.65,22198.35,252199186,24620.71,16.33,0.0625,22151.95,1.111446622
28-Feb-24,22214.1,22229.15,21915.85,21951.15,202952371,20579.8,15.5725,0.0625,22072.5,0.932372862
29-Feb-24,21935.2,22060.55,21860.65,21982.8,360165824,40196.12,15.235,0.0625,21960.6,1.830374398
01-Mar-24,22048.3,22353.3,22047.75,22338.75,351503075,29646.47,14.9925,0.0625,22200.525,1.335394996
02-Mar-24,22406.95,22419.55,22367.05,22378.4,35763814,1918.77,14.9225,0.0625,22393.3,0.085685004
04-Mar-24,22403.5,22440.9,22358.3,22405.6,298794435,23771.71,14.38,0.0625,22399.6,1.061256005
05-Mar-24,22371.25,22416.9,22269.15,22356.3,296153036,29165.37,14.295,0.0625,22343.025,1.305345628
06-Mar-24,22327.5,22497.2,22224.35,22474.05,312262560,31029.01,13.6125,0.0625,22360.775,1.387653603
07-Mar-24,22505.3,22525.65,22430,22493.55,379865142,33558.46,13.995,0.0625,22477.825,1.492958505
11-Mar-24,22517.5,22526.6,22307.25,22332.65,277897373,27222.37,13.6375,0.0625,22416.925,1.214366823
12-Mar-24,22334.45,22452.55,22256,22335.7,299201167,29781.12,14.4325,0.0625,22354.275,1.332233767
13-Mar-24,22432.2,22446.75,21905.65,21997.7,493341697,40109.23,13.6225,0.0625,22176.2,1.808661087
14-Mar-24,21982.55,22204.6,21917.5,22146.65,426742460,37348.3,13.69,0.0625,22061.05,1.692952058
15-Mar-24,22064.85,22120.9,21931.7,22023.35,661460455,60260.88,13.895,0.0625,22026.3,2.735860312
