title,price,furnishing,bathrooms,tenant preferred,floor,status,carpet area,House,BHK
1 BHK Apartment for Rent in Edappally Kochi,18000.0,Furnished,1.0,Bachelors,1 out of 3,Immediately,750.0,Apartment,1
"3 BHK Apartment for Rent in Skyline Imperial Gardens , Palarivattom Kochi",38000.0,Semi-Furnished,3.0,Bachelors/Family,12 out of 27,Immediately,1000.0,Apartment,3
"2 BHK Apartment for Rent in Kalpaka Vrindavan Ponekara, Edappally Kochi",28000.0,Semi-Furnished,2.0,Bachelors,2 out of 6,Immediately,700.0,Apartment,2
2 BHK House for Rent in Panayappilly Kochi,15000.0,Semi-Furnished,2.0,Family,,Immediately,1100.0,House,2
3 BHK Villa for Rent in Angamali Kochi,22000.0,Semi-Furnished,3.0,Bachelors/Family,,Immediately,,Villa,3
2 BHK House for Rent in Pachalam Kochi,20000.0,Semi-Furnished,2.0,Bachelors/Family,Ground out of 3,Immediately,,House,2
2 BHK House for Rent in Kalamassery Kochi,14000.0,Unfurnished,2.0,Bachelors/Family,1 out of 3,Immediately,,House,2
1 BHK Apartment for Rent in Angamaly Kochi,9500.0,Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,200.0,Apartment,1
"3 BHK Apartment for Rent in DD Platinum Planet, Kathrikadavu Kochi",27000.0,Semi-Furnished,4.0,Bachelors,9 out of 16,Immediately,1455.0,Apartment,3
3 BHK Villa for Rent in Thrikkakara Kochi,30000.0,Semi-Furnished,3.0,Bachelors/Family,,Immediately,,Villa,3
2 BHK Apartment for Rent in Thrikkakara Kochi,35000.0,Semi-Furnished,2.0,Bachelors/Family,2 out of 17,Immediately,,Apartment,2
6 BHK House for Rent in Kaloor Kochi,70000.0,Semi-Furnished,6.0,Family,Ground out of 2,Immediately,,House,6
2 BHK House for Rent in Vazhakkala Kochi,25000.0,Unfurnished,2.0,Bachelors,1 out of 1,Immediately,1200.0,House,2
2 BHK Apartment for Rent in Kakkanad Kochi,34000.0,Furnished,2.0,Bachelors,23 out of 23,Immediately,1400.0,Apartment,2
"3 BHK Apartment for Rent in Puravankara Purva Eternity, Athani Kochi",32000.0,Furnished,3.0,Family,12 out of 20,Immediately,971.0,Apartment,3
3 BHK Apartment for Rent in Kakkanad Kochi,26000.0,Semi-Furnished,3.0,Family,3 out of 22,Immediately,1600.0,Apartment,3
"1 BHK Apartment for Rent in Aban Apartments, Kakkanad Kochi",11600.0,Semi-Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,,Apartment,1
2 BHK House for Rent in Chilavannoor Kochi,14000.0,Semi-Furnished,2.0,Bachelors/Family,,Immediately,1100.0,House,2
"3 BHK Apartment for Rent in Heera Life Style, Thrippunithura Kochi",25000.0,Semi-Furnished,4.0,Bachelors/Family,19 out of 21,Immediately,,Apartment,3
6 BHK House for Rent in Edappally Kochi,40000.0,Semi-Furnished,5.0,Bachelors/Family,,Immediately,2300.0,House,6
