,title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
112,"3 BHK Apartment for Rent in Hoysala D'zire Apartments, Kakkanad Kochi",27000.0,Furnished,3.0,Bachelors,1200.0,Apartment,3,Kakkanad,1.0,11.0
113,"3 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",35000.0,Furnished,2.0,Bachelors/Family,1102.0,Apartment,3,Edappally,2.0,10.0
114,"1 BHK Apartment for Rent in Link valley, Kakkanad Kochi",17000.0,Furnished,1.0,Bachelors/Family,,Apartment,1,Kakkanad,1.0,3.0
115,3 BHK House for Rent in Edappally Kochi,24000.0,Semi-Furnished,3.0,Bachelors,1450.0,House,3,Edappally,1.0,2.0
116,"2 BHK Apartment for Rent in SFS Silicon Court and Gate , Kakkanad Kochi",20000.0,Semi-Furnished,2.0,Bachelors,1200.0,Apartment,2,Kakkanad,7.0,15.0
117,"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi",20000.0,Semi-Furnished,3.0,Bachelors/Family,1691.0,Apartment,3,Kakkanad,,
118,"3 BHK Apartment for Rent in Sowparnika Atrium, Edappally Kochi",35000.0,Furnished,2.0,Bachelors/Family,,Apartment,3,Edappally,2.0,9.0
119,"3 BHK Apartment for Rent in Noel Greenature, Kakkanad Kochi",59000.0,Furnished,2.0,Bachelors/Family,2040.0,Apartment,3,Kakkanad,7.0,14.0
120,3 BHK Apartment for Rent in Kakkanad Kochi,42000.0,Furnished,3.0,Bachelors/Family,1400.0,Apartment,3,Kakkanad,7.0,12.0
121,"3 BHK Apartment for Rent in Jewel Bay View, Vyttila Kochi",25000.0,Semi-Furnished,3.0,Bachelors/Family,,Apartment,3,Vyttila,4.0,10.0
122,"3 BHK Apartment for Rent in Puravankra Eternity, Kakkanad Kochi",35000.0,,,Bachelors/Family,,Apartment,3,Kakkanad,,
123,"1 BHK Apartment for Rent in Aban Apartments, Kakkanad Kochi",10600.0,Semi-Furnished,1.0,Bachelors/Family,,Apartment,1,Kakkanad,1.0,3.0
124,3 BHK Apartment for Rent in Kakkanad Kochi,22000.0,Furnished,3.0,Bachelors,,Apartment,3,Kakkanad,5.0,7.0
125,"2 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi",36000.0,Furnished,2.0,Bachelors/Family,,Apartment,2,Kakkanad,4.0,7.0
126,2 BHK House for Rent in Kakkanad Kochi,15000.0,Furnished,2.0,Bachelors/Family,,House,2,Kakkanad,,
127,2 BHK Apartment for Rent in Edappally Kochi,16000.0,Furnished,2.0,Bachelors/Family,,Apartment,2,Edappally,2.0,3.0
128,3 BHK Apartment for Rent in Edappally Kochi,20000.0,Furnished,2.0,Bachelors/Family,,Apartment,3,Edappally,10.0,12.0
