title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
"3 BHK Apartment for Rent in Relcon Retreat, Edappally Kochi",21500,Semi-Furnished,3,Bachelors/Family,,Apartment,3,Edappally,1,5
4 BHK House for Rent in Kakkanad Kochi,40000,Furnished,4,Family,2800,House,4,Kakkanad,,
2 BHK Apartment for Rent in Elamakkara Kochi,20000,Semi-Furnished,2,Bachelors/Family,,Apartment,2,Elamakkara,8,10
1 BHK Apartment for Rent in Edappally Kochi,18000,Furnished,1,Bachelors,750,Apartment,1,Edappally,1,3
"3 BHK Apartment for Rent in Skyline Imperial Gardens , Palarivattom Kochi",38000,Semi-Furnished,3,Bachelors/Family,1000,Apartment,3,Palarivattom,12,27
"2 BHK Apartment for Rent in Kalpaka Vrindavan Ponekara, Edappally Kochi",28000,Semi-Furnished,2,Bachelors,700,Apartment,2,Edappally,2,6
2 BHK House for Rent in Panayappilly Kochi,15000,Semi-Furnished,2,Family,1100,House,2,Panayappilly,,
3 BHK Villa for Rent in Angamali Kochi,22000,Semi-Furnished,3,Bachelors/Family,,Villa,3,Angamali,,
2 BHK House for Rent in Pachalam Kochi,20000,Semi-Furnished,2,Bachelors/Family,,House,2,Pachalam,0,3
2 BHK House for Rent in Kalamassery Kochi,14000,Unfurnished,2,Bachelors/Family,,House,2,Kalamassery,1,3
1 BHK Apartment for Rent in Angamaly Kochi,9500,Furnished,1,Bachelors/Family,200,Apartment,1,Angamaly,1,3
"3 BHK Apartment for Rent in DD Platinum Planet, Kathrikadavu Kochi",27000,Semi-Furnished,4,Bachelors,1455,Apartment,3,Kathrikadavu,9,16
3 BHK Villa for Rent in Thrikkakara Kochi,30000,Semi-Furnished,3,Bachelors/Family,,Villa,3,Thrikkakara,,
2 BHK Apartment for Rent in Thrikkakara Kochi,35000,Semi-Furnished,2,Bachelors/Family,,Apartment,2,Thrikkakara,2,17
6 BHK House for Rent in Kaloor Kochi,70000,Semi-Furnished,6,Family,,House,6,Kaloor,0,2
2 BHK House for Rent in Vazhakkala Kochi,25000,Unfurnished,2,Bachelors,1200,House,2,Vazhakkala,1,1
2 BHK Apartment for Rent in Kakkanad Kochi,34000,Furnished,2,Bachelors,1400,Apartment,2,Kakkanad,23,23
"3 BHK Apartment for Rent in Puravankara Purva Eternity, Athani Kochi",32000,Furnished,3,Family,971,Apartment,3,Athani,12,20
