Date 	Open 	High 	Low 	Close 	Shares Traded 	Turnover (? Cr)	India VIX	STT rate	Avg Share price	Trading Volume 
09-Apr-18	10333.7	10397.7	10328.5	10379.35	228512954	10714.13	14.8675	0.05	10363.1	1.033873069
10-Apr-18	10412.9	10424.85	10381.5	10402.25	259523888	11905.12	14.4975	0.05	10403.175	1.144373713
11-Apr-18	10428.15	10428.15	10355.6	10417.15	258077363	11790.58	14.72	0.05	10391.875	1.134596019
12-Apr-18	10410.65	10469.9	10395.25	10458.65	246027888	12249.66	14.56	0.05	10432.575	1.174174161
13-Apr-18	10495.3	10519.9	10451.45	10480.6	219724716	12354.55	14.14	0.05	10485.675	1.178231254
16-Apr-18	10398.3	10540.15	10396.35	10528.35	200950876	11242.05	14.26	0.05	10468.25	1.073918754
17-Apr-18	10557.3	10560.45	10495.65	10548.7	212449535	10501.71	14.0425	0.05	10528.05	0.997498112
18-Apr-18	10578.9	10594.2	10509.7	10526.2	211823044	9888.65	14.11	0.05	10551.95	0.937139581
19-Apr-18	10563.65	10572.2	10546.2	10565.3	270740891	12559.11	13.7475	0.05	10559.2	1.189399765
20-Apr-18	10560.35	10582.35	10527.45	10564.05	252227268	15372.66	12.9375	0.05	10554.9	1.456447716
23-Apr-18	10592.8	10638.35	10514.95	10584.7	200203196	13642.67	13.145	0.05	10576.65	1.289885739
24-Apr-18	10578.1	10636.8	10569	10614.35	225972673	12281.53	11.895	0.05	10602.9	1.158318007
25-Apr-18	10612.4	10612.6	10536.45	10570.55	195129613	11125.11	12.395	0.05	10574.525	1.052067114
26-Apr-18	10586.5	10628.4	10559.65	10617.8	345536167	19200.41	12.0375	0.05	10594.025	1.812381036
27-Apr-18	10651.65	10719.8	10647.55	10692.3	306671172	16886.89	12.0175	0.05	10683.675	1.580625581
30-Apr-18	10705.75	10759	10704.6	10739.35	179163468	10412.57	12.3625	0.05	10731.8	0.970253825
02-May-18	10783.85	10784.65	10689.8	10718.05	236757172	14820.58	12.84	0.05	10737.225	1.380298913
03-May-18	10720.15	10720.6	10647.45	10679.65	190869804	11018.21	12.985	0.05	10684.025	1.031278942
04-May-18	10700.45	10700.45	10601.6	10618.25	192296041	9721.56	13.25	0.05	10651.025	0.91273469
07-May-18	10653.15	10725.65	10635.65	10715.5	173620240	9239.44	13.76	0.05	10680.65	0.865063456
08-May-18	10757.9	10758.55	10689.4	10717.8	278118616	12783.49	14.055	0.05	10723.975	1.192047725
09-May-18	10693.35	10766.25	10689.85	10741.7	222115640	10390.92	14.2725	0.05	10728.05	0.968574904
10-May-18	10779.65	10785.55	10705	10716.55	197988475	10526.38	14.425	0.05	10745.275	0.979628721
11-May-18	10741.95	10812.05	10724.45	10806.5	209392114	10432.43	13.9775	0.05	10768.25	0.968813874
14-May-18	10815.15	10834.85	10774.75	10806.6	176697512	9075.44	14.245	0.05	10804.8	0.83994521
15-May-18	10812.6	10929.2	10781.4	10801.85	262202312	13582.7	13.165	0.05	10855.3	1.251250541
16-May-18	10751.95	10790.45	10699.7	10741.1	238221884	11359.48	13.435	0.05	10745.075	1.05718015
17-May-18	10775.6	10777.25	10664.5	10682.7	220738923	12506.3	13.4075	0.05	10720.875	1.166537246
18-May-18	10671.85	10674.95	10589.1	10596.4	229908939	13908.47	14.15	0.05	10632.025	1.308167541
21-May-18	10616.7	10621.7	10505.8	10516.7	197294184	11346.13	14.41	0.05	10563.75	1.074062714
22-May-18	10518.45	10558.6	10490.55	10536.7	249236637	12017.36	13.6025	0.05	10524.575	1.141838031
23-May-18	10521.1	10533.55	10417.8	10430.35	299919120	13456.6	14.1575	0.05	10475.675	1.284556842
24-May-18	10464.85	10535.15	10419.8	10513.85	306792497	12914.16	13.145	0.05	10477.475	1.232564144
25-May-18	10533.05	10628.05	10524	10605.15	268914888	12431.16	12.645	0.05	10576.025	1.175409476
28-May-18	10648.35	10709.8	10640.55	10688.65	239786001	11764.35	13.055	0.05	10675.175	1.102028772
29-May-18	10689.4	10717.25	10616.1	10633.3	232761575	11817.39	13.07	0.05	10666.675	1.107879447
30-May-18	10579	10648.7	10558.45	10614.35	246124259	12224.76	13.41	0.05	10603.575	1.152890417
31-May-18	10670.1	10763.8	10620.4	10736.15	629198569	29479.77	13.2225	0.05	10692.1	2.757154348
01-Jun-18	10738.45	10764.75	10681.5	10696.2	227355567	12965.01	13.57	0.05	10723.125	1.209070117
04-Jun-18	10765.95	10770.3	10618.35	10628.5	210148313	14120.49	13.8825	0.05	10694.325	1.320372254
05-Jun-18	10630.7	10633.15	10550.9	10593.15	172898027	10027.54	13.315	0.05	10592.025	0.946706602
06-Jun-18	10603.45	10698.35	10587.5	10684.65	195761429	9920.75	12.55	0.05	10642.925	0.932145064
07-Jun-18	10722.6	10818	10722.6	10768.35	227663151	11315.24	12.7775	0.05	10770.3	1.050596548
