,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
112,10000.0,1,2.0,1,1000.0,3,2.0,73,6.0,16.0
113,18000.0,2,3.0,1,1200.0,3,3.0,67,1.0,2.0
114,12000.0,2,3.0,2,1200.0,0,3.0,14,1.0,3.0
115,35000.0,0,1.0,1,750.0,0,1.0,25,3.0,3.0
116,8000.0,2,1.0,1,300.0,3,1.0,19,2.0,7.0
117,28500.0,2,4.0,0,2200.0,0,4.0,25,9.0,10.0
118,35000.0,1,4.0,0,1800.0,5,4.0,14,2.0,7.0
119,23000.0,1,2.0,1,1200.0,0,2.0,27,1.0,4.0
120,40000.0,0,3.0,1,1200.0,0,3.0,50,4.0,12.0
121,17000.0,2,2.0,1,950.0,0,2.0,33,1.0,6.0
122,25000.0,0,2.0,1,1200.0,3,2.0,33,0.0,1.0
123,20000.0,2,4.0,1,1500.0,0,3.0,22,5.0,14.0
124,50000.0,0,4.0,1,1200.0,5,4.0,38,2.0,7.0
125,35000.0,1,4.0,1,1200.0,3,4.0,62,2.0,7.0
126,25000.0,2,4.0,0,1800.0,0,3.0,33,9.0,11.0
127,90000.0,2,4.0,0,1200.0,0,5.0,40,11.0,27.0
128,35000.0,0,4.0,1,1700.0,0,3.0,1,2.0,7.0
129,12000.0,1,3.0,1,1200.0,1,3.0,68,3.0,3.0
130,38000.0,2,3.0,0,1200.0,0,3.0,40,4.0,13.0
131,14500.0,1,2.0,1,1200.0,1,2.0,26,0.0,4.0
132,52000.0,0,4.0,1,2100.0,0,3.0,50,13.0,17.0
133,10000.0,0,3.0,1,1200.0,3,2.0,33,3.0,3.0
134,12000.0,2,2.0,1,1200.0,1,2.0,27,1.0,1.0
135,19500.0,1,3.0,1,1200.0,4,3.0,25,17.0,18.0
136,6500.0,1,1.0,1,68.0,3,1.0,15,2.0,7.0
137,30000.0,0,2.0,1,1200.0,0,3.0,44,0.0,2.0
138,18000.0,1,2.0,1,1200.0,1,2.0,27,3.0,6.0
139,50000.0,0,3.0,1,1200.0,0,3.0,40,5.0,5.0
140,20000.0,1,3.0,1,1800.0,5,4.0,47,2.0,7.0
141,15000.0,1,3.0,1,1375.0,5,3.0,53,2.0,7.0
142,30000.0,1,4.0,1,1200.0,0,3.0,25,9.0,20.0
144,26000.0,0,3.0,1,1200.0,0,3.0,25,0.0,18.0
145,20000.0,0,3.0,1,1200.0,3,2.0,3,0.0,3.0
146,12000.0,0,1.0,1,1200.0,0,1.0,34,1.0,1.0
147,14000.0,0,3.0,1,1200.0,5,3.0,12,2.0,7.0
150,20000.0,1,3.0,1,1200.0,0,3.0,14,9.0,11.0
151,25000.0,1,2.0,1,1200.0,0,2.0,5,2.0,7.0
152,12000.0,1,2.0,1,1200.0,3,2.0,62,2.0,7.0
153,9000.0,0,1.0,1,1200.0,0,1.0,20,0.0,4.0
154,6000.0,0,1.0,1,1200.0,3,1.0,71,2.0,7.0
155,24000.0,1,3.0,1,1800.0,3,3.0,3,0.0,2.0
156,8000.0,1,1.0,1,1200.0,3,1.0,14,2.0,7.0
157,16500.0,2,2.0,0,1500.0,3,2.0,25,2.0,7.0
158,14500.0,1,1.0,1,1100.0,3,1.0,33,2.0,7.0
159,25000.0,1,2.0,0,750.0,0,2.0,25,9.0,10.0
160,24000.0,1,2.0,1,1200.0,3,3.0,71,0.0,1.0
161,25000.0,1,2.0,1,1500.0,0,3.0,40,3.0,12.0
162,30000.0,0,1.0,1,650.0,3,1.0,11,2.0,7.0
163,10000.0,1,3.0,1,1200.0,0,3.0,33,2.0,7.0
164,6500.0,0,2.0,1,1200.0,1,2.0,33,0.0,3.0
165,25000.0,0,5.0,1,1200.0,5,4.0,3,2.0,7.0
166,20000.0,0,4.0,1,1200.0,3,3.0,54,2.0,7.0
167,18000.0,2,3.0,1,1200.0,5,3.0,14,2.0,7.0
168,15000.0,1,1.0,1,750.0,0,1.0,33,2.0,2.0
169,10000.0,2,2.0,2,1200.0,1,2.0,60,2.0,7.0
170,15000.0,2,2.0,1,1100.0,3,3.0,25,2.0,7.0
171,15000.0,2,2.0,1,1200.0,3,3.0,25,2.0,7.0
172,40000.0,0,3.0,1,1600.0,0,3.0,50,4.0,11.0
